model,nSims,tpb,mem,endTimeOfSim,rtol,atol,pysbTime,cupSODATime
tyson,1000,32,1,2.63076090813,1e-06,1e-06,100,20000,100.0,1,0,K20c,1.027057
tyson,1000,64,1,2.66150903702,1e-06,1e-06,100,20000,100.0,1,0,K20c,1.027053
tyson,1000,1,2,3.27626609802,1e-06,1e-06,100,20000,100.0,1,0,K20c,1.750358
tyson,1000,2,2,2.66242003441,1e-06,1e-06,100,20000,100.0,1,0,K20c,1.078005
tyson,1000,4,2,2.24594688416,1e-06,1e-06,100,20000,100.0,1,0,K20c,0.649781
tyson,1000,8,2,2.04467487335,1e-06,1e-06,100,20000,100.0,1,0,K20c,0.446295
tyson,1000,16,2,2.25284600258,1e-06,1e-06,100,20000,100.0,1,0,K20c,0.631114
tyson,1000,32,2,2.62446594238,1e-06,1e-06,100,20000,100.0,1,0,K20c,1.007864
tyson,1000,64,2,2.59459114075,1e-06,1e-06,100,20000,100.0,1,0,K20c,1.007661
tyson,10000,1,0,31.3053190708,1e-06,1e-06,100,20000,100.0,1,0,K20c,20.422798
tyson,10000,2,0,21.4441289902,1e-06,1e-06,100,20000,100.0,1,0,K20c,10.70158
tyson,10000,4,0,17.3580582142,1e-06,1e-06,100,20000,100.0,1,0,K20c,6.481215
tyson,10000,8,0,15.6972830296,1e-06,1e-06,100,20000,100.0,1,0,K20c,4.560088
tyson,10000,16,0,14.608716011,1e-06,1e-06,100,20000,100.0,1,0,K20c,3.848001
tyson,10000,32,0,16.6456599236,1e-06,1e-06,100,20000,100.0,1,0,K20c,5.55884
tyson,10000,64,0,14.5724878311,1e-06,1e-06,100,20000,100.0,1,0,K20c,3.826625
tyson,10000,1,1,29.0287089348,1e-06,1e-06,100,20000,100.0,1,0,K20c,18.390385
tyson,10000,2,1,20.3559670448,1e-06,1e-06,100,20000,100.0,1,0,K20c,9.612417
tyson,10000,4,1,16.646502018,1e-06,1e-06,100,20000,100.0,1,0,K20c,5.85285
tyson,10000,8,1,15.0294070244,1e-06,1e-06,100,20000,100.0,1,0,K20c,4.104562
tyson,10000,16,1,14.3326590061,1e-06,1e-06,100,20000,100.0,1,0,K20c,3.527928
tyson,10000,32,1,15.9211859703,1e-06,1e-06,100,20000,100.0,1,0,K20c,5.147602
tyson,10000,64,1,14.222796917,1e-06,1e-06,100,20000,100.0,1,0,K20c,3.454623
tyson,10000,1,2,27.0955171585,1e-06,1e-06,100,20000,100.0,1,0,K20c,16.240574
tyson,10000,2,2,19.637032032,1e-06,1e-06,100,20000,100.0,1,0,K20c,8.884775
tyson,10000,4,2,16.2187318802,1e-06,1e-06,100,20000,100.0,1,0,K20c,5.482267
tyson,10000,8,2,14.7199699879,1e-06,1e-06,100,20000,100.0,1,0,K20c,3.900175
tyson,10000,16,2,14.0035629272,1e-06,1e-06,100,20000,100.0,1,0,K20c,3.449262
tyson,10000,32,2,15.9485211372,1e-06,1e-06,100,20000,100.0,1,0,K20c,5.128547
tyson,10000,64,2,14.208523035,1e-06,1e-06,100,20000,100.0,1,0,K20c,3.432483
tyson,100000,1,0,306.488099813,1e-06,1e-06,100,20000,100.0,1,0,K20c,203.237274
tyson,100000,2,0,209.227963924,1e-06,1e-06,100,20000,100.0,1,0,K20c,106.041969
tyson,100000,4,0,165.232810974,1e-06,1e-06,100,20000,100.0,1,0,K20c,62.476757
tyson,100000,8,0,145.104565859,1e-06,1e-06,100,20000,100.0,1,0,K20c,41.709606
tyson,100000,16,0,136.527441978,1e-06,1e-06,100,20000,100.0,1,0,K20c,33.07486
tyson,100000,32,0,150.35362792,1e-06,1e-06,100,20000,100.0,1,0,K20c,48.014912
tyson,100000,64,0,140.127910137,1e-06,1e-06,100,20000,100.0,1,0,K20c,38.221504
tyson,100000,1,1,284.763109922,1e-06,1e-06,100,20000,100.0,1,0,K20c,182.610428
tyson,100000,2,1,200.435288906,1e-06,1e-06,100,20000,100.0,1,0,K20c,98.706398
tyson,100000,4,1,156.581253052,1e-06,1e-06,100,20000,100.0,1,0,K20c,56.293556
tyson,100000,8,1,138.554584026,1e-06,1e-06,100,20000,100.0,1,0,K20c,37.52401
tyson,100000,16,1,131.027399063,1e-06,1e-06,100,20000,100.0,1,0,K20c,30.288061
tyson,100000,32,1,142.616030931,1e-06,1e-06,100,20000,100.0,1,0,K20c,42.022713
tyson,100000,64,1,136.029817104,1e-06,1e-06,100,20000,100.0,1,0,K20c,34.611237
tyson,100000,1,2,262.63853693,1e-06,1e-06,100,20000,100.0,1,0,K20c,161.523438
tyson,100000,2,2,187.805685043,1e-06,1e-06,100,20000,100.0,1,0,K20c,87.918625
tyson,100000,4,2,154.310372829,1e-06,1e-06,100,20000,100.0,1,0,K20c,52.602631
tyson,100000,8,2,135.257879972,1e-06,1e-06,100,20000,100.0,1,0,K20c,35.653511
tyson,100000,16,2,129.366295099,1e-06,1e-06,100,20000,100.0,1,0,K20c,29.676685
tyson,100000,32,2,144.256583214,1e-06,1e-06,100,20000,100.0,1,0,K20c,43.915836
tyson,100000,64,2,134.031797886,1e-06,1e-06,100,20000,100.0,1,0,K20c,34.37043
